unit,fair,generous,honest,powerful,friendly,culture,resolved,organized,intelligent,ranking,treat,condition
1071,2,NA,1,NA,NA,NA,NA,NA,NA,2-1------,1,Individuals
1072,2,NA,NA,NA,4,NA,1,3,NA,2---4-13-,2,Countries
1073,3,NA,2,NA,NA,NA,1,4,5,3-2---145,1,Individuals
1074,4,2,1,6,NA,NA,3,5,7,4216--357,2,Countries
1075,NA,NA,3,NA,NA,NA,2,NA,1,--3---2-1,2,Countries
1076,4,NA,2,NA,NA,NA,NA,3,1,4-2----31,1,Individuals
1077,3,NA,NA,1,NA,2,4,NA,NA,3--1-24--,1,Individuals
1078,NA,NA,1,NA,NA,NA,NA,NA,2,--1-----2,2,Countries
1079,3,NA,NA,4,1,NA,NA,2,NA,3--41--2-,2,Countries
1080,1,2,NA,NA,NA,4,NA,3,NA,12---4-3-,2,Countries
1081,3,NA,2,NA,NA,NA,NA,NA,1,3-2-----1,1,Individuals
1082,5,4,1,8,3,9,7,6,2,541839762,2,Countries
1083,NA,NA,2,NA,1,NA,NA,NA,3,--2-1---3,1,Individuals
1084,NA,NA,2,NA,NA,1,NA,NA,NA,--2--1---,2,Countries
1085,1,NA,4,NA,NA,NA,3,2,NA,1-4---32-,1,Individuals
1086,1,6,3,NA,4,NA,NA,2,5,163-4--25,2,Countries
1087,2,4,1,NA,3,5,NA,6,NA,241-35-6-,2,Countries
1088,1,3,2,NA,4,NA,NA,NA,NA,132-4----,1,Individuals
1089,3,NA,NA,5,NA,NA,4,2,1,3--5--421,2,Countries
1090,NA,4,NA,NA,3,NA,1,NA,2,-4--3-1-2,1,Individuals
1091,NA,3,2,NA,1,NA,NA,NA,4,-32-1---4,1,Individuals
1092,3,NA,4,2,NA,NA,NA,1,NA,3-42---1-,2,Countries
1093,NA,NA,NA,2,NA,NA,1,NA,NA,---2--1--,1,Individuals
1094,4,9,7,3,2,8,5,1,6,497328516,2,Countries
1095,3,NA,NA,NA,NA,2,NA,1,NA,3----2-1-,1,Individuals
1096,NA,NA,1,NA,3,NA,NA,2,NA,--1-3--2-,1,Individuals
1097,1,NA,3,NA,4,NA,NA,NA,2,1-3-4---2,1,Individuals
1098,2,NA,3,NA,NA,NA,NA,1,NA,2-3----1-,2,Countries
1099,4,2,3,NA,NA,NA,NA,NA,1,423-----1,2,Countries
1100,3,NA,2,1,NA,NA,NA,NA,NA,3-21-----,1,Individuals
1101,1,3,NA,NA,NA,NA,NA,2,NA,13-----2-,2,Countries
1102,3,NA,2,NA,NA,NA,NA,4,1,3-2----41,1,Individuals
1103,2,NA,1,NA,4,NA,NA,NA,3,2-1-4---3,1,Individuals
1104,3,6,1,9,2,4,7,8,5,361924785,1,Individuals
1105,1,NA,NA,4,NA,NA,3,2,NA,1--4--32-,2,Countries
1106,NA,NA,1,2,NA,NA,NA,3,NA,--12---3-,1,Individuals
1107,5,8,3,4,7,9,6,1,2,583479612,1,Individuals
1108,2,NA,NA,4,NA,NA,3,NA,1,2--4--3-1,2,Countries
1109,NA,NA,NA,2,NA,NA,1,3,NA,---2--13-,2,Countries
