unit,civil,uncivil,intolerant,threatening,ranking,treat,treatment,pid,rank1,gender,agegroup,racecat_anes,educ,fil_lurker_visit,anger,disgust,pid7
1089,1,2,4,3,1243,1,non-group-related control,Democrat,civil,Male,Born 1975-1990,White,Professional degree,Every day,18,0,Leaning Democrat
1090,4,2,1,3,4213,3,intolerant,Independent,intolerant,Male,Born 1975-1990,White,High school graduate,Every day,20,80,Independent
1091,1,3,2,4,1324,0,control,Republican,civil,Male,Born 1959-1974,White,College,Every day,0,0,Republican
1092,4,1,2,3,4123,2,uncivil,Independent,uncivil,Male,Born 1959-1974,White,College,Every day,70,70,Independent
1093,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Male,Born 1975-1990,Race other/multiple,College,Every day,69,100,Democrat
1094,4,3,1,2,4312,4,threatening,Republican,intolerant,Male,Born 1991 or later,White,College,Every day,70,85,Leaning Republican
1095,1,3,2,4,1324,1,non-group-related control,Republican,civil,Male,Born 1991 or later,White,College,Every day,8,18,Republican
1096,4,2,1,3,4213,3,intolerant,Independent,intolerant,Male,Born 1991 or later,White,High school graduate,Every day,1,3,Independent
1097,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Male,Born 1943-1958,Race other/multiple,Postgraduate (e.g. Masters),Less often,0,20,Democrat
1098,4,2,3,1,4231,5,threatening (new),Independent,threatening,Male,Born 1975-1990,White,Professional degree,Every day,0,32,Independent
1099,1,3,2,4,1324,0,control,Republican,civil,Male,Born 1975-1990,White,College,Every day,15,25,Leaning Republican
1100,4,3,2,1,4321,4,threatening,Democrat,threatening,Male,Born 1975-1990,White,College,Every day,81,83,Leaning Democrat
1101,1,3,2,4,1324,1,non-group-related control,Democrat,civil,Male,Born 1975-1990,White,College,Every day,0,0,Democrat
1102,2,1,3,4,2134,0,control,Independent,uncivil,Male,Born 1975-1990,White,College,At least once a week but not every day,0,10,Independent
1103,4,3,1,2,4312,5,threatening (new),Independent,intolerant,Male,Born 1975-1990,Hispanic,High school graduate,Every day,70,69,Independent
1104,4,2,1,3,4213,2,uncivil,Republican,intolerant,Male,Born 1959-1974,Hispanic,College,At least once a week but not every day,16,17,Republican
1105,3,2,1,4,3214,3,intolerant,Democrat,intolerant,Male,Born 1943-1958,White,High school graduate,Less often,20,69,Strong Democrat
1106,4,2,3,1,4231,4,threatening,Democrat,threatening,Male,Born 1991 or later,White,College,Every day,100,100,Leaning Democrat
1107,1,2,3,4,1234,1,non-group-related control,Democrat,civil,Male,Born 1991 or later,Hispanic,High school graduate,Every day,0,0,Leaning Democrat
1108,1,3,2,4,1324,0,control,Democrat,civil,Male,Born 1991 or later,White,High school graduate,Every day,10,10,Leaning Democrat
1109,4,1,3,2,4132,5,threatening (new),Democrat,uncivil,Male,Born 1959-1974,White,College,Less often,54,55,Leaning Democrat
1110,4,2,1,3,4213,2,uncivil,Democrat,intolerant,Male,Born 1991 or later,White,College,Every day,60,70,Strong Democrat
1111,4,3,2,1,4321,4,threatening,Republican,threatening,Male,Born 1959-1974,White,Professional degree,Every day,90,90,Strong Republican
1112,3,1,2,4,3124,3,intolerant,Independent,uncivil,Male,Born 1975-1990,White,Postgraduate (e.g. Masters),Every day,52,68,Independent
1113,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Male,Born 1991 or later,White,Postgraduate (e.g. Masters),Every day,100,100,Democrat
1114,3,2,1,4,3214,0,control,Republican,intolerant,Male,Born 1991 or later,White,High school graduate,Every day,0,0,Republican
1115,4,1,2,3,4123,5,threatening (new),Independent,uncivil,Male,Born 1991 or later,Hispanic,College,Every day,20,40,Independent
1116,4,1,3,2,4132,2,uncivil,Republican,uncivil,Male,Born 1975-1990,White,College,Every day,53,53,Republican
1117,1,3,2,4,1324,1,non-group-related control,Independent,civil,Male,Born 1975-1990,White,College,Every day,15,11,Independent
1118,1,2,3,4,1234,0,control,Independent,civil,Male,Born 1975-1990,White,College,At least once a week but not every day,51,51,Independent
1119,4,1,3,2,4132,2,uncivil,Democrat,uncivil,Male,Born 1975-1990,White,College,Every day,13,12,Leaning Democrat
1120,4,1,2,3,4123,4,threatening,Democrat,uncivil,Male,Born 1975-1990,White,College,At least once a week but not every day,71,81,Leaning Democrat
1121,4,2,3,1,4231,4,threatening,Republican,threatening,Male,Born 1975-1990,Black,Postgraduate (e.g. Masters),Every day,88,73,Leaning Republican
1122,1,3,2,4,1324,1,non-group-related control,Independent,civil,Male,Born 1975-1990,Hispanic,Postgraduate (e.g. Masters),Every day,0,4,Independent
1123,3,1,2,4,3124,3,intolerant,Democrat,uncivil,Male,Born 1991 or later,White,College,Every day,80,100,Democrat
1124,3,2,1,4,3214,5,threatening (new),Democrat,intolerant,Female,Born 1975-1990,White,College,Every day,34,78,Democrat
1125,1,4,2,3,1423,1,non-group-related control,Independent,civil,Male,Born 1991 or later,White,College,At least once a week but not every day,0,0,Independent
1126,4,2,1,3,4213,3,intolerant,Democrat,intolerant,Male,Born 1975-1990,White,"College,PhD",Every day,100,100,Leaning Democrat
1127,4,3,1,2,4312,0,control,Democrat,intolerant,Female,Born 1991 or later,White,High school graduate,At least once a week but not every day,68,75,Leaning Democrat
1128,1,2,3,4,1234,1,non-group-related control,Democrat,civil,Male,Born 1991 or later,Race other/multiple,High school graduate,Every day,20,0,Democrat
1129,4,1,2,3,4123,2,uncivil,Democrat,uncivil,Male,Born 1991 or later,Black,College,At least once a week but not every day,0,72,Democrat
1130,4,3,1,2,4312,5,threatening (new),Democrat,intolerant,Male,Born 1975-1990,Race other/multiple,Postgraduate (e.g. Masters),A few times a month,77,73,Democrat
1131,4,2,1,3,4213,4,threatening,Democrat,intolerant,Male,Born 1959-1974,White,High school graduate,Every day,35,80,Leaning Democrat
1132,4,2,1,3,4213,4,threatening,Democrat,intolerant,Male,Born 1975-1990,Hispanic,High school graduate,Every day,38,90,Leaning Democrat
1133,2,3,1,4,2314,3,intolerant,Democrat,intolerant,Male,Born 1991 or later,White,Postgraduate (e.g. Masters),A few times a month,29,59,Strong Democrat
1134,1,3,2,4,1324,0,control,Independent,civil,Male,Born 1991 or later,Race other/multiple,College,At least once a week but not every day,17,26,Independent
1135,4,3,1,2,4312,5,threatening (new),Independent,intolerant,Male,Born 1975-1990,Hispanic,High school graduate,Every day,51,34,Independent
