unit,budgetfunding,teacherquality,learninggains,achievementgaps,commoncore,ranking,treat,teacher,avghispgap,avgblkgap
52,2,4,3,1,5,24315,0,0,14.30000114440918,25.899999618530273
53,1,5,4,3,2,15432,0,1,10,20.450000762939453
54,NA,NA,NA,NA,1,----1,1,1,-4.350000381469727,6.100000381469727
55,1,4,3,5,2,14352,0,0,20.30000114440918,9.150001525878906
56,4,5,1,2,3,45123,0,0,19.599998474121097,18.849998474121097
57,1,3,2,4,5,13245,1,0,16.799999237060547,NA
58,1,2,3,5,4,12354,0,1,9.500001907348633,13.25
59,1,4,5,2,3,14523,1,1,19.749998092651367,NA
60,1,5,3,4,2,15342,1,0,16.650001525878906,19.80000114440918
61,3,5,1,2,4,35124,1,0,32.599998474121094,37.749996185302734
62,5,3,2,1,4,53214,1,0,27.80000114440918,20.599998474121097
63,1,NA,3,NA,2,1-3-2,0,0,8.799999237060547,15.200000762939451
64,4,2,1,3,5,42135,0,0,16.799997329711914,NA
65,NA,1,2,4,5,-1245,0,0,9.35000228881836,22.149999618530273
66,1,3,4,2,5,13425,0,0,9.850000381469728,11.44999885559082
67,5,3,1,2,4,53124,0,0,NA,NA
68,2,5,1,4,3,25143,0,0,9.5,11.80000114440918
69,NA,3,NA,NA,2,-3--2,1,0,32.19999694824219,33.75
70,NA,NA,NA,NA,NA,-----,0,0,18,19.05000114440918
71,2,4,5,1,3,24513,1,1,1.8500003814697263,15.399998664855955
72,5,1,3,4,2,51342,0,1,13.19999885559082,NA
73,1,5,4,3,2,15432,1,1,30.80000114440918,NA
74,2,5,4,1,3,25413,1,1,42.60000228881836,NA
75,4,3,1,2,5,43125,1,0,22.850000381469727,27.350000381469727
76,2,1,NA,3,NA,21-3-,1,0,6.9499969482421875,NA
77,1,5,2,3,4,15234,1,0,27.75,25.599998474121097
78,4,5,NA,NA,3,45--3,NA,0,24.80000114440918,26.149999618530273
79,5,3,4,2,1,53421,NA,0,26.650001525878903,37.35000228881836
80,5,4,3,1,2,54312,1,0,23.350000381469727,28.450000762939453
81,4,3,1,2,5,43125,0,0,29.749998092651367,15
82,5,NA,NA,NA,4,5---4,1,0,19.700000762939453,12.80000114440918
83,3,5,4,1,2,35412,0,0,19,18.599998474121097
84,1,4,5,3,2,14532,1,0,30.950000762939453,15.799999237060549
85,1,5,2,4,3,15243,1,0,19,18.599998474121097
86,2,4,5,1,3,24513,1,1,18.450000762939453,-4.149997711181641
87,1,5,4,3,2,15432,0,1,22.999998092651367,32.849998474121094
88,4,2,1,3,5,42135,1,1,11.649999618530272,15.5
89,5,3,4,1,2,53412,1,1,20.94999885559082,24.349998474121097
90,3,1,5,4,2,31542,1,0,39.35000228881836,NA
91,2,1,5,4,3,21543,0,1,16.549997329711914,20.749998092651367
92,1,3,5,4,2,13542,0,0,26.450000762939453,18.350000381469727
93,5,2,1,3,4,52134,NA,1,17.25,15.700000762939451
94,1,2,3,4,NA,1234-,1,0,10.450000762939451,NA
95,1,3,4,5,2,13452,1,1,24.350000381469727,21.299999237060547
96,4,3,1,2,5,43125,1,0,29.250001907348633,23.750003814697266
97,5,3,2,1,4,53214,0,0,26.450000762939453,18.350000381469727
98,1,2,4,5,3,12453,0,0,16.89999771118164,21.249998092651367
99,1,NA,2,NA,NA,1-2--,0,1,29.54999732971191,37.099998474121094
