unit,adachi,aliotopier,avalos,chiu,dufty,hall,herrera,lee,rees,ting,yee,ranking,treat,race,gender,party,age,educ,income,ideo,interest,retro
164,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,--1---2----,3,1,2,2,1,3,2,1,2,3
165,NA,NA,3,1,NA,NA,NA,2,NA,NA,NA,--31---2---,4,1,2,2,1,3,2,3,1,2
166,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2-1--------,0,1,99,NA,99,3,1,1,2,2
167,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3-1--------,1,1,3,2,2,4,1,2,3,4
168,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,2,1,2,NA,2,4,2,2,2,4
169,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3-1--------,2,1,2,3,1,3,1,2,1,3
170,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-------1---,1,4,2,2,2,4,5,2,2,3
171,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,--21-------,1,1,1,2,2,2,3,2,3,4
172,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,3,3,1,3,2,2,1,1,2,2
173,NA,NA,3,2,NA,NA,1,NA,NA,NA,NA,--32--1----,4,1,2,2,2,4,4,2,1,2
174,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,------21---,0,6,99,2,3,4,6,99,1,1
175,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,----3-1----,4,1,1,2,3,2,1,2,1,3
176,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,--1-------3,0,1,1,4,2,4,4,1,1,3
177,NA,NA,NA,2,3,NA,1,NA,NA,NA,NA,---23-1----,3,NA,99,NA,99,99,99,99,99,99
178,NA,NA,3,1,NA,NA,2,NA,NA,NA,NA,--31--2----,2,NA,99,NA,99,99,99,99,99,99
179,NA,3,NA,NA,NA,NA,1,2,NA,NA,NA,-3----12---,3,2,2,2,3,1,5,5,3,99
180,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,3,1,2,2,1,4,2,1,2,2
181,NA,NA,1,NA,NA,NA,3,NA,NA,NA,2,--1---3---2,1,NA,99,NA,99,99,99,99,99,99
182,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,--1----3---,4,1,2,3,1,2,2,2,2,2
183,1,NA,NA,NA,NA,NA,NA,2,NA,NA,3,1------2--3,0,5,1,2,3,3,1,4,2,4
184,NA,NA,3,2,NA,NA,1,NA,NA,NA,NA,--32--1----,2,1,1,2,3,4,3,3,1,1
185,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,1,1,1,2,1,3,2,1,2,2
186,3,NA,1,NA,NA,NA,NA,NA,NA,NA,2,3-1-------2,3,1,1,4,2,4,1,1,1,4
187,NA,NA,NA,3,NA,NA,1,2,NA,NA,NA,---3--12---,1,1,2,2,1,3,1,2,2,2
188,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,--2----1---,0,NA,2,2,3,3,3,1,2,2
189,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,-------12--,4,4,2,2,2,3,3,4,2,3
190,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2-1--------,1,1,2,2,1,3,1,1,1,2
191,3,NA,1,NA,NA,NA,2,NA,NA,NA,NA,3-1---2----,0,1,1,2,2,3,1,2,1,3
192,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-------1---,0,NA,99,NA,99,99,99,99,99,99
193,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,-2-----1---,2,NA,99,NA,99,99,99,99,99,99
194,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,---2---1---,0,2,2,2,4,4,4,1,1,2
195,NA,1,3,NA,NA,NA,2,NA,NA,NA,NA,-13---2----,3,3,1,2,99,3,2,1,2,3
196,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,-------1---,4,4,2,NA,2,2,2,4,2,3
197,1,NA,NA,2,NA,NA,NA,3,NA,NA,NA,1--2---3---,0,1,1,1,2,4,3,7,2,4
198,NA,NA,1,NA,NA,NA,2,NA,NA,NA,3,--1---2---3,2,1,1,2,2,4,4,2,2,2
199,NA,NA,NA,2,NA,NA,NA,1,NA,3,NA,---2---1-3-,1,NA,1,2,3,4,6,6,99,3
200,2,NA,1,NA,NA,NA,NA,NA,NA,NA,3,2-1-------3,3,1,2,2,4,4,3,2,2,2
201,NA,NA,NA,3,1,2,NA,NA,NA,NA,NA,---312-----,4,NA,1,2,1,3,99,2,1,3
202,NA,NA,1,NA,NA,NA,3,NA,NA,NA,2,--1---3---2,0,1,2,3,1,3,1,1,2,3
203,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,--1--------,2,NA,2,2,3,2,1,99,2,2
204,1,2,NA,NA,3,NA,NA,NA,NA,NA,NA,12--3------,1,1,1,1,2,2,1,4,2,2
205,NA,NA,1,2,NA,NA,NA,3,NA,NA,NA,--12---3---,1,1,1,3,3,3,4,4,2,3
206,NA,NA,NA,1,NA,NA,NA,2,3,NA,NA,---1---23--,0,5,2,2,2,3,6,5,1,3
207,2,NA,NA,NA,NA,1,NA,NA,NA,3,NA,2----1---3-,3,2,2,3,3,2,1,5,2,3
208,NA,NA,3,NA,NA,NA,NA,1,NA,NA,2,--3----1--2,2,1,99,2,2,4,2,1,99,2
209,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,---2---1---,2,4,1,2,4,3,3,2,1,2
210,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1-------2--,4,1,1,3,2,4,2,7,2,4
211,3,NA,NA,NA,NA,NA,NA,1,NA,NA,2,3------1--2,0,3,2,2,1,2,3,3,2,2
212,NA,NA,1,2,NA,NA,3,NA,NA,NA,NA,--12--3----,1,NA,1,3,2,3,2,2,2,2
213,NA,2,NA,1,NA,NA,NA,NA,NA,NA,3,-2-1------3,4,NA,2,2,4,3,5,2,2,4
