unit,defense,economicdevelopment,socialstability,democracy,corruption,incomeinequality,environment,ranking,treat,historical,powerful,valuable,island,age,income,han,male,eastern,central,rural,college,soe,ccp,socialstatus,news
1897,7,NA,NA,NA,NA,NA,NA,7------,13,1,0,1,1,62,3,1,1,1,0,0,0,0,0,4,4
1898,7,NA,NA,NA,NA,NA,NA,7------,4,0,0,1,0,76,2,1,1,0,1,0,1,1,1,4,4
1899,4,NA,NA,NA,NA,NA,NA,4------,8,0,0,0,1,34,4,1,0,1,0,0,1,1,0,5,3
1900,6,NA,NA,NA,NA,NA,NA,6------,14,0,1,1,1,26,4,1,1,0,1,1,1,0,1,4,4
1901,7,NA,NA,NA,NA,NA,NA,7------,0,0,0,0,0,49,5,1,1,0,1,0,1,1,1,6,4
1902,3,NA,NA,NA,NA,NA,NA,3------,5,1,0,1,0,29,3,1,0,1,0,0,1,0,0,6,3
1903,3,NA,NA,NA,NA,NA,NA,3------,1,1,0,0,0,38,7,1,1,1,0,0,1,1,1,4,4
1904,7,NA,NA,NA,NA,NA,NA,7------,12,0,0,1,1,31,6,1,1,1,0,0,1,0,0,6,4
1905,7,NA,NA,NA,NA,NA,NA,7------,14,0,1,1,1,29,3,1,0,1,0,0,1,1,1,7,4
1906,7,NA,NA,NA,NA,NA,NA,7------,1,1,0,0,0,35,5,1,0,1,0,0,1,0,0,6,4
1907,7,NA,NA,NA,NA,NA,NA,7------,1,1,0,0,0,41,4,1,1,1,0,0,1,0,0,6,4
1908,1,NA,NA,NA,NA,NA,NA,1------,10,0,1,0,1,31,NA,1,0,1,0,1,0,0,0,7,2
1909,7,NA,NA,NA,NA,NA,NA,7------,4,0,0,1,0,51,3,1,1,0,1,0,0,1,0,5,4
1910,4,NA,NA,NA,NA,NA,NA,4------,15,1,1,1,1,40,6,1,0,1,0,0,1,1,0,7,3
1911,4,NA,NA,NA,NA,NA,NA,4------,12,0,0,1,1,42,3,1,1,0,1,0,0,0,0,4,3
1912,7,NA,NA,NA,NA,NA,NA,7------,1,1,0,0,0,27,4,1,1,1,0,0,0,0,0,8,3
