unit,indian,kashmiri,religion,occupation,ranking,treat,age,age_18_27,age_28_49,age_50_over,median_age,gender,gender_female,education,education_class12,education_cat_none,education_cat_class6,education_cat_class12,education_cat_ba,religion_sunni,religion_shia,religion_sikh,religion_hindu,main_earner,monthly_hhincome,hhincome_cat_not_5000,hhincome_cat_5000_15000,hhincome_cat_15000_more
84,1,NA,NA,NA,1---,0,50,0,0,1,1,male,0,Class 10,0,0,1,0,0,1,0,0,0,1,"15,000-19,999",0,0,1
85,1,NA,NA,NA,1---,0,22,1,0,0,0,female,1,Class 12,1,0,0,1,0,1,0,0,0,0,"30,000-39,999",0,0,1
86,1,NA,NA,NA,1---,0,82,0,0,1,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
87,1,NA,NA,NA,1---,1,21,1,0,0,0,female,1,Class 12,1,0,0,1,0,1,0,0,0,0,"40,000-49,999",0,0,1
88,1,NA,NA,NA,1---,0,38,0,1,0,1,female,1,Some college,1,0,0,1,0,1,0,0,0,0,"20,000-29,999",0,0,1
89,1,NA,NA,NA,1---,1,37,0,1,0,1,male,0,Class 12,1,0,0,1,0,1,0,0,0,1,"5,000-9,999",0,1,0
90,1,NA,NA,NA,1---,1,33,0,1,0,0,female,1,Class 7,0,0,1,0,0,1,0,0,0,0,"10,000-14,999",0,1,0
91,1,NA,NA,NA,1---,1,47,0,1,0,1,female,1,Class 5,0,0,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
92,1,NA,NA,NA,1---,1,35,0,1,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
93,1,NA,NA,NA,1---,0,34,0,1,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
94,1,NA,NA,NA,1---,1,47,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
95,1,NA,NA,NA,1---,1,70,0,0,1,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,0,"20,000-29,999",0,0,1
96,1,NA,NA,NA,1---,0,29,0,1,0,0,male,0,Class 12,1,0,0,1,0,1,0,0,0,0,"2500-4,999",1,0,0
97,1,NA,NA,NA,1---,1,36,0,1,0,1,male,0,Graduation (BA/BS etc.),1,0,0,0,1,1,0,0,0,1,"10,000-14,999",0,1,0
98,1,NA,NA,NA,1---,0,40,0,1,0,1,male,0,Graduation (BA/BS etc.),1,0,0,0,1,1,0,0,0,1,"2500-4,999",1,0,0
99,1,NA,NA,NA,1---,1,18,1,0,0,0,male,0,Some college,1,0,0,1,0,1,0,0,0,0,"5,000-9,999",0,1,0
100,1,NA,NA,NA,1---,1,33,0,1,0,0,male,0,Class 10,0,0,1,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
101,1,NA,NA,NA,1---,0,70,0,0,1,1,female,1,Some college,1,0,0,1,0,1,0,0,0,0,"5,000-9,999",0,1,0
102,1,NA,NA,NA,1---,1,25,1,0,0,0,female,1,Class 12,1,0,0,1,0,1,0,0,0,0,"2500-4,999",1,0,0
103,1,NA,NA,NA,1---,0,26,1,0,0,0,female,1,Class 10,0,0,1,0,0,1,0,0,0,0,"2500-4,999",1,0,0
104,1,NA,NA,NA,1---,0,20,1,0,0,0,female,1,Class 10,0,0,1,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
105,NA,NA,NA,NA,----,0,23,1,0,0,0,male,0,Post-graduation (MA/MS etc.),1,0,0,0,1,1,0,0,0,0,"0-2,499",1,0,0
106,1,NA,NA,NA,1---,1,57,0,0,1,1,male,0,Post-graduation (MA/MS etc.),1,0,0,0,1,1,0,0,0,1,"80,000-89,999",0,0,1
107,1,NA,NA,NA,1---,0,28,0,1,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
108,1,NA,NA,NA,1---,1,37,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"15,000-19,999",0,0,1
109,1,NA,NA,NA,1---,1,33,0,1,0,0,male,0,Class 12,1,0,0,1,0,1,0,0,0,1,"2500-4,999",1,0,0
110,1,NA,NA,NA,1---,1,61,0,0,1,1,male,0,Post-graduation (MA/MS etc.),1,0,0,0,1,1,0,0,0,1,"15,000-19,999",0,0,1
111,1,NA,NA,NA,1---,1,72,0,0,1,1,male,0,Graduation (BA/BS etc.),1,0,0,0,1,1,0,0,0,0,"40,000-49,999",0,0,1
112,1,NA,NA,NA,1---,1,37,0,1,0,1,male,0,Class 12,1,0,0,1,0,1,0,0,0,1,"2500-4,999",1,0,0
113,1,NA,NA,NA,1---,1,35,0,1,0,0,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
114,1,NA,NA,NA,1---,0,80,0,0,1,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,0,"10,000-14,999",0,1,0
115,1,NA,NA,NA,1---,1,37,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"15,000-19,999",0,0,1
116,1,NA,NA,NA,1---,1,35,0,1,0,0,male,0,Class 7,0,0,1,0,0,1,0,0,0,1,"2500-4,999",1,0,0
117,1,NA,NA,NA,1---,0,53,0,0,1,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
118,1,NA,NA,NA,1---,0,42,0,1,0,1,female,1,No formal education,0,1,0,0,0,1,0,0,0,0,"2500-4,999",1,0,0
119,1,NA,NA,NA,1---,0,35,0,1,0,0,male,0,Class 7,0,0,1,0,0,1,0,0,0,1,"5,000-9,999",0,1,0
120,1,NA,NA,NA,1---,1,20,1,0,0,0,male,0,Class 12,1,0,0,1,0,1,0,0,0,0,"5,000-9,999",0,1,0
121,1,NA,NA,NA,1---,1,27,1,0,0,0,female,1,Class 12,1,0,0,1,0,1,0,0,0,0,"10,000-14,999",0,1,0
122,1,NA,NA,NA,1---,1,40,0,1,0,1,female,1,Class 12,1,0,0,1,0,1,0,0,0,0,"10,000-14,999",0,1,0
123,1,NA,NA,NA,1---,1,41,0,1,0,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,1,"2500-4,999",1,0,0
124,1,NA,NA,NA,1---,0,69,0,0,1,1,male,0,No formal education,0,1,0,0,0,1,0,0,0,0,"0-2,499",1,0,0
125,1,NA,NA,NA,1---,0,44,0,1,0,1,female,1,Class 8,0,0,1,0,0,1,0,0,0,0,"5,000-9,999",0,1,0
126,1,NA,NA,NA,1---,1,36,0,1,0,1,female,1,Class 10,0,0,1,0,0,1,0,0,0,0,"10,000-14,999",0,1,0
127,1,NA,NA,NA,1---,1,47,0,1,0,1,male,0,Class 12,1,0,0,1,0,1,0,0,0,1,"0-2,499",1,0,0
128,1,NA,NA,NA,1---,0,38,0,1,0,1,female,1,Class 12,1,0,0,1,0,1,0,0,0,0,"5,000-9,999",0,1,0
129,1,NA,NA,NA,1---,1,33,0,1,0,0,female,1,Post-graduation (MA/MS etc.),1,0,0,0,1,1,0,0,0,1,"50,000-59,999",0,0,1
