unit,clark,officers,hahn,steinberg,schubert,brown,senators,ranking,treat,county,partyid,race,ideo_rating,education,work_for_law
151,1,7,6,4,5,3,2,1764532,0,sacramento,2,2,5,5,0
152,7,1,3,6,2,4,5,7136245,1,sacramento,1,1,7,4,0
153,6,7,5,3,4,2,1,6753421,0,sacramento,2,4,2,3,0
154,1,7,6,4,5,2,3,1764523,1,orange,3,1,4,4,0
155,5,7,6,1,4,2,3,5761423,1,sacramento,3,1,1,3,0
156,7,6,2,4,3,5,1,7624351,1,sacramento,3,1,4,3,0
157,1,7,6,4,5,2,3,1764523,1,sacramento,2,1,2,3,0
158,7,1,2,4,3,6,5,7124365,0,riverside,1,1,7,3,1
159,7,1,2,6,3,5,4,7126354,1,sacramento,1,1,2,4,0
160,3,2,5,6,7,4,1,3256741,1,sacramento,1,1,1,4,1
161,7,6,4,2,1,3,5,7642135,0,sacramento,1,1,NA,3,0
162,7,6,5,3,2,4,1,7653241,0,sacramento,2,1,4,2,0
163,1,7,6,3,5,4,2,1763542,0,sacramento,2,1,1,4,0
164,NA,NA,NA,NA,NA,NA,NA,-------,0,los angeles,1,4,4,2,0
165,5,7,6,4,3,2,1,5764321,1,sacramento,3,1,5,2,0
166,2,7,5,3,6,1,4,2753614,1,sacramento,2,2,NA,2,0
167,5,7,6,4,1,3,2,5764132,0,orange,1,1,6,3,0
168,1,7,6,4,5,2,3,1764523,0,riverside,1,1,7,2,0
169,1,7,6,5,4,2,3,1765423,1,sacramento,2,5,2,4,0
170,3,7,6,5,4,2,1,3765421,0,los angeles,2,1,2,2,0
171,1,7,6,4,5,2,3,1764523,0,riverside,2,1,1,5,0
172,NA,NA,NA,NA,NA,NA,NA,-------,1,orange,NA,NA,NA,NA,NA
173,7,6,5,3,4,1,2,7653412,1,orange,2,4,4,4,0
174,7,6,5,1,2,4,3,7651243,0,sacramento,1,1,NA,3,0
175,7,2,3,4,1,6,5,7234165,0,sacramento,2,2,NA,2,0
176,1,7,5,4,6,3,2,1754632,1,sacramento,2,1,2,4,0
177,6,7,5,4,2,3,1,6754231,1,sacramento,2,4,5,3,0
178,NA,NA,NA,NA,NA,NA,NA,-------,0,orange,NA,NA,NA,NA,NA
